geo_id,year,deped_id,water,electricity,internet,computers,disability_infrastructure,sanitation_facilities,ss_sanitation_facilities,handwashing_facilities
NIG-000000,2014,EIRJK,1,,,,,1,,
NIG-000001,2014,ENQHE,0,,,,,0,,
NIG-000002,2014,EDJJK,1,,,,,1,,
NIG-000003,2014,ELOOD,0,,,,,1,,
NIG-000004,2014,EZJOH,0,,,,,1,,
NIG-000005,2014,EULMF,1,,,,,1,,
NIG-000006,2014,EBQPK,1,,,,,1,,
NIG-000007,2014,EOPJV,1,,,,,1,,
NIG-000008,2014,EEMRF,0,,,,,1,,
NIG-000009,2014,ELQLC,1,,,,,1,,
NIG-000010,2014,EHZWD,0,,,,,0,,
NIG-000011,2014,EJVMB,1,,,,,1,,
NIG-000012,2014,EEDWO,0,,,,,0,,
NIG-000013,2014,EPTXP,1,,,,,1,,
NIG-000014,2014,EYSSQ,1,,,,,1,,
NIG-000015,2014,EHVLA,1,,,,,1,,
NIG-000016,2014,EKJAE,0,,,,,1,,
NIG-000017,2014,EAPTB,0,,,,,0,,
NIG-000018,2014,YDYHQ,1,,,,,1,,
NIG-000019,2014,EUXUY,0,,,,,0,,
NIG-000020,2014,EWNTG,0,,,,,0,,
NIG-000021,2014,EGJEJ,1,,,,,0,,
NIG-000022,2014,EGNJI,0,,,,,1,,
NIG-000023,2014,EZYAF,0,,,,,1,,
NIG-000024,2014,EYUFE,1,,,,,0,,
NIG-000025,2014,ENQSP,0,,,,,1,,
NIG-000026,2014,EISJU,1,,,,,1,,
NIG-000027,2014,ENUIF,0,,,,,0,,
NIG-000028,2014,EWNWP,0,,,,,0,,
NIG-000029,2014,ESJNZ,0,,,,,0,,
NIG-000030,2014,EQJYY,0,,,,,0,,
NIG-000031,2014,ECBXF,0,,,,,0,,
NIG-000032,2014,EYFVQ,0,,,,,0,,
NIG-000033,2014,EIYJB,0,,,,,0,,
NIG-000034,2014,EHFFI,0,,,,,0,,
NIG-000035,2014,EGYXT,0,,,,,0,,
NIG-000036,2014,YDIDY,0,,,,,0,,
NIG-000037,2014,EFCPN,0,,,,,0,,
NIG-000038,2014,EEGGE,0,,,,,0,,
NIG-000039,2014,EEKVM,1,,,,,1,,
NIG-000040,2014,EJWQG,0,,,,,1,,
NIG-000041,2014,EGGUD,0,,,,,1,,
NIG-000042,2014,EDGBN,1,,,,,0,,
NIG-000043,2014,QHOJL,0,,,,,1,,
NIG-000044,2014,TIHUS,0,,,,,1,,
NIG-000045,2014,CRDML,0,,,,,1,,
NIG-000046,2014,CSHEU,0,,,,,0,,
NIG-000047,2014,EOVQG,0,,,,,0,,
NIG-000048,2014,YOGLX,1,,,,,1,,
NIG-000049,2014,EXPLE,0,,,,,1,,
NIG-000050,2014,BSXPQ,1,,,,,1,,
NIG-000051,2014,EYKLF,1,,,,,0,,
NIG-000052,2014,WOKXY,1,,,,,1,,
NIG-000053,2014,EPRGK,0,,,,,1,,
NIG-000054,2014,EFQRZ,0,,,,,1,,
