geo_id,year,deped_id,water,internet,electricity,computers,disability_infrastructure,sanitation_facilities,ss_sanitation_facilities,handwashing_facilities
PRY-000000,2012,1701016,,,,,,,,
PRY-000001,2012,1701007,,,,,,,,
PRY-000001,2012,1701007,,0,,,,,,
PRY-000002,2012,1701005,,1,,,,,,
PRY-000002,2012,1701005,,0,,,,,,
PRY-000003,2012,1702030,,,,,,,,
PRY-000004,2012,1702027,,,,,,,,
PRY-000005,2012,1702024,,,,,,,,
PRY-000006,2012,1702021,,0,,,,,,
PRY-000006,2012,1702021,,,,,,,,
PRY-000007,2012,1702010,,0,,,,,,
PRY-000008,2012,1702009,,0,,,,,,
PRY-000009,2012,1702007,,0,,,,,,
PRY-000010,2012,1702006,,,,,,,,
PRY-000011,2012,1702005,,0,,,,,,
PRY-000012,2012,1702011,,,,,,,,
PRY-000012,2012,1702011,,,,,,,,
PRY-000012,2012,1702011,,,,,,,,
PRY-000013,2012,1701013,,,,,,,,
PRY-000013,2012,1701013,,,,,,,,
PRY-000014,2012,1701012,,0,,,,,,
PRY-000015,2012,1701011,,0,,,,,,
PRY-000015,2012,1701011,,0,,,,,,
PRY-000015,2012,1701011,,1,,,,,,
PRY-000016,2012,1701004,,0,,,,,,
PRY-000017,2012,1701003,,,,,,,,
PRY-000017,2012,1701003,,0,,,,,,
PRY-000018,2012,1701002,,0,,,,,,
PRY-000019,2012,1701001,,0,,,,,,
PRY-000020,2012,1702026,,0,,,,,,
PRY-000021,2012,1656012,,1,,,,,,
PRY-000022,2012,1603005,,,,,,,,
PRY-000023,2012,1702023,,0,,,,,,
PRY-000024,2012,1702020,,0,,,,,,
PRY-000025,2012,1702016,,,,,,,,
PRY-000025,2012,1702016,,,,,,,,
PRY-000026,2012,1702014,,,,,,,,
PRY-000026,2012,1702014,,0,,,,,,
PRY-000027,2012,1702013,,0,,,,,,
PRY-000027,2012,1702013,,,,,,,,
PRY-000028,2012,1702003,,0,,,,,,
PRY-000028,2012,1702003,,,,,,,,
PRY-000028,2012,1702003,,,,,,,,
PRY-000029,2012,1702002,,0,,,,,,
PRY-000030,2012,1702001,,0,,,,,,
PRY-000031,2012,1702004,,0,,,,,,
PRY-000031,2012,1702004,,,,,,,,
PRY-000032,2012,1011096,,0,,,,,,
PRY-000033,,1703778,,,,,,,,
PRY-000034,2012,1002065,,1,,,,,,
PRY-000035,2012,1001349,,,,,,,,
PRY-000036,2012,1001347,,1,,,,,,
PRY-000037,2012,1001341,,0,,,,,,
PRY-000038,2012,1001340,,,,,,,,
PRY-000039,2012,1001335,,0,,,,,,
PRY-000040,2012,1001332,,0,,,,,,
PRY-000041,2012,1001330,,0,,,,,,
PRY-000042,2012,1001328,,0,,,,,,
PRY-000043,2012,1001327,,0,,,,,,
PRY-000044,2012,1001326,,0,,,,,,
PRY-000045,2012,1001325,,0,,,,,,
PRY-000046,2012,1001324,,0,,,,,,
PRY-000047,2012,1001322,,0,,,,,,
PRY-000048,2012,1001320,,1,,,,,,
PRY-000049,2012,1001319,,0,,,,,,
PRY-000050,2012,1001318,,,,,,,,
PRY-000051,2012,1001314,,1,,,,,,
PRY-000052,2012,1001313,,0,,,,,,
PRY-000053,2012,1001311,,0,,,,,,
PRY-000054,2012,1001309,,,,,,,,
PRY-000055,2012,1001308,,,,,,,,
PRY-000056,2012,1001307,,,,,,,,
PRY-000056,2012,1001307,,0,,,,,,
PRY-000057,2012,1001302,,0,,,,,,
PRY-000058,2012,1001300,,0,,,,,,
PRY-000059,2012,1001298,,,,,,,,
PRY-000060,2012,1001295,,0,,,,,,
PRY-000061,2012,1001294,,0,,,,,,
PRY-000061,2012,1001294,,0,,,,,,
PRY-000062,2012,1001293,,0,,,,,,
PRY-000063,2012,1001292,,0,,,,,,
PRY-000063,2012,1001292,,,,,,,,
PRY-000064,2012,1001291,,0,,,,,,
PRY-000064,2012,1001291,,0,,,,,,
PRY-000065,2012,1001290,,0,,,,,,
PRY-000066,2012,1001286,,0,,,,,,
PRY-000067,2012,1001285,,0,,,,,,
PRY-000068,2012,1001282,,0,,,,,,
PRY-000069,2012,1001275,,1,,,,,,
PRY-000070,2012,1001271,,1,,,,,,
PRY-000071,2012,1001269,,1,,,,,,
PRY-000071,2012,1001269,,,,,,,,
PRY-000072,2012,1001266,,0,,,,,,
PRY-000073,2012,1001261,,,,,,,,
PRY-000074,2012,1001260,,,,,,,,
PRY-000075,2012,1001254,,,,,,,,
PRY-000076,2012,1001250,,,,,,,,
PRY-000077,2012,1001246,,0,,,,,,
PRY-000078,2012,1001245,,0,,,,,,
PRY-000079,2012,1001244,,0,,,,,,
PRY-000080,2012,1001241,,1,,,,,,
PRY-000081,2012,1001239,,0,,,,,,
PRY-000082,2012,1001236,,1,,,,,,
PRY-000083,2012,1001232,,0,,,,,,
PRY-000083,2012,1001232,,,,,,,,
PRY-000084,2012,1001230,,0,,,,,,
PRY-000085,2012,1001228,,0,,,,,,
PRY-000085,2012,1001228,,0,,,,,,
PRY-000086,2012,1001223,,0,,,,,,
PRY-000087,2012,1001213,,,,,,,,
PRY-000088,2012,1001211,,0,,,,,,
PRY-000089,2012,1001209,,,,,,,,
PRY-000090,2012,1001207,,,,,,,,
PRY-000091,2012,1001206,,,,,,,,
PRY-000092,2012,1001204,,,,,,,,
PRY-000093,2012,1001203,,,,,,,,
PRY-000094,2012,1001202,,,,,,,,
PRY-000095,2012,1001201,,,,,,,,
PRY-000096,2012,1001200,,,,,,,,
PRY-000097,2012,1001198,,,,,,,,
PRY-000098,2012,1001197,,,,,,,,
PRY-000099,2012,1001196,,,,,,,,
PRY-000100,2012,1001195,,,,,,,,
PRY-000101,2012,1001190,,0,,,,,,
PRY-000101,2012,1001190,,,,,,,,
PRY-000102,2012,1001189,,,,,,,,
PRY-000103,2012,1001188,,0,,,,,,
PRY-000104,2012,1001187,,0,,,,,,
PRY-000105,2012,1001186,,0,,,,,,
PRY-000105,2012,1001186,,0,,,,,,
PRY-000106,2012,1001185,,1,,,,,,
PRY-000107,2012,1001183,,0,,,,,,
PRY-000108,2012,1001182,,1,,,,,,
PRY-000109,2012,1001178,,0,,,,,,
PRY-000110,2012,1001176,,0,,,,,,
PRY-000111,2012,1001164,,1,,,,,,
PRY-000111,2012,1001164,,1,,,,,,
PRY-000111,2012,1001164,,,,,,,,
PRY-000112,2012,1001161,,0,,,,,,
PRY-000113,2012,1001159,,1,,,,,,
PRY-000114,2012,1001156,,0,,,,,,
PRY-000115,2012,1001151,,0,,,,,,
PRY-000116,2012,1001143,,0,,,,,,
PRY-000117,2012,1001142,,0,,,,,,
PRY-000118,2012,1001137,,0,,,,,,
PRY-000119,2012,1001129,,,,,,,,
PRY-000120,2012,1001127,,,,,,,,
PRY-000121,2012,1001126,,,,,,,,
PRY-000122,2012,1001121,,0,,,,,,
PRY-000123,2012,1001119,,1,,,,,,
PRY-000124,2012,1001118,,,,,,,,
PRY-000125,2012,1001114,,1,,,,,,
PRY-000126,2012,1001113,,,,,,,,
PRY-000126,2012,1001113,,1,,,,,,
PRY-000127,2012,1001110,,0,,,,,,
PRY-000128,2012,1001109,,1,,,,,,
PRY-000129,2012,1001108,,,,,,,,
PRY-000130,2012,1001106,,1,,,,,,
PRY-000131,2012,1001104,,0,,,,,,
PRY-000131,2012,1001104,,0,,,,,,
PRY-000131,2012,1001104,,,,,,,,
PRY-000132,2012,1001103,,0,,,,,,
PRY-000133,2012,1001102,,0,,,,,,
PRY-000134,2012,1001101,,0,,,,,,
PRY-000135,2012,1001099,,,,,,,,
PRY-000136,2012,1001098,,0,,,,,,
PRY-000136,2012,1001098,,0,,,,,,
PRY-000137,2012,1001097,,0,,,,,,
PRY-000138,2012,1001096,,0,,,,,,
PRY-000138,2012,1001096,,,,,,,,
PRY-000139,2012,1001095,,0,,,,,,
PRY-000140,2012,1001094,,0,,,,,,
PRY-000140,2012,1001094,,0,,,,,,
PRY-000141,2012,1001093,,1,,,,,,
PRY-000142,2012,1001092,,0,,,,,,
PRY-000143,2012,1001091,,0,,,,,,
PRY-000144,2012,1001090,,0,,,,,,
PRY-000145,2012,1001089,,0,,,,,,
PRY-000146,2012,1001088,,0,,,,,,
PRY-000147,2012,1001086,,0,,,,,,
PRY-000148,2012,1001085,,0,,,,,,
PRY-000149,2012,1001084,,0,,,,,,
PRY-000150,2012,1001083,,0,,,,,,
PRY-000150,2012,1001083,,0,,,,,,
PRY-000150,2012,1001083,,,,,,,,
PRY-000151,2012,1001082,,,,,,,,
PRY-000151,2012,1001082,,1,,,,,,
PRY-000152,2012,1001081,,0,,,,,,
PRY-000152,2012,1001081,,,,,,,,
PRY-000152,2012,1001081,,0,,,,,,
PRY-000153,2012,1001080,,0,,,,,,
PRY-000154,2012,1001079,,0,,,,,,
PRY-000154,2012,1001079,,0,,,,,,
PRY-000154,2012,1001079,,0,,,,,,
PRY-000155,2012,1001077,,,,,,,,
PRY-000155,2012,1001077,,0,,,,,,
PRY-000155,2012,1001077,,0,,,,,,
PRY-000156,2012,1001076,,0,,,,,,
PRY-000156,2012,1001076,,0,,,,,,
PRY-000157,2012,1001075,,0,,,,,,
PRY-000157,2012,1001075,,0,,,,,,
PRY-000158,2012,1001074,,,,,,,,
PRY-000159,2012,1001073,,0,,,,,,
PRY-000159,2012,1001073,,,,,,,,
PRY-000159,2012,1001073,,0,,,,,,
PRY-000160,2012,1001072,,0,,,,,,
PRY-000161,2012,1001071,,0,,,,,,
PRY-000162,2012,1001069,,0,,,,,,
PRY-000163,2012,1001068,,1,,,,,,
PRY-000164,2012,1001065,,,,,,,,
PRY-000164,2012,1001065,,0,,,,,,
PRY-000164,2012,1001065,,1,,,,,,
PRY-000165,2012,1001061,,0,,,,,,
PRY-000166,2012,1001059,,,,,,,,
PRY-000166,2012,1001059,,0,,,,,,
PRY-000166,2012,1001059,,,,,,,,
PRY-000166,2012,1001059,,0,,,,,,
PRY-000167,2012,1001058,,0,,,,,,
PRY-000168,2012,1001057,,0,,,,,,
